	t0	i0	t1	i1	t2	i2	t3	i3	t4	i4	t5	i5	t6	i6	t7	i7	t8	i8	t9	i9	t10	i10	t11	i11	t12	i12	t13	i13	t14	i14	t15	i15	t16	i16	t17	i17	t18	i18	t19	i19	t20	i20	t21	i21	t22	i22	t23	i23
0	0.00133	-36.0	0.00117	-255.0	0.0015	15.0	0.00133	26.0	0.00117	13.0	0.00067	0.0	0.0015	-24.0	0.00133	2.0	0.001	-12.0	0.00067	18.0	0.00117	18.0	0.00133	-0.0	0.00067	8.0	0.00117	24.0	0.00117	41.0	0.00117	6.0	0.00133	17.0	0.00067	30.0	0.00067	17.0	0.00133	24.0	0.00067	34.0	0.00067	19.0	0.00133	7.0	0.001	-2.0
1	0.002	-36.0	0.00183	-254.0	0.00217	15.0	0.002	26.0	0.00183	13.0	0.00133	0.0	0.00217	-24.0	0.002	2.0	0.00167	-12.0	0.00133	18.0	0.00183	18.0	0.002	-0.0	0.00133	8.0	0.00183	24.0	0.00183	41.0	0.00183	6.0	0.002	17.0	0.00133	30.0	0.00133	17.0	0.002	24.0	0.00133	34.0	0.00133	19.0	0.002	7.0	0.00167	-2.0
2	0.00267	-36.0	0.0025	-254.0	0.00283	15.0	0.00267	26.0	0.0025	13.0	0.002	1.0	0.00283	-24.0	0.00267	2.0	0.00233	-12.0	0.002	18.0	0.0025	18.0	0.00267	-0.0	0.002	8.0	0.0025	24.0	0.0025	41.0	0.0025	6.0	0.00267	17.0	0.002	30.0	0.002	17.0	0.00267	24.0	0.002	34.0	0.002	19.0	0.00267	7.0	0.00233	-2.0
3	0.00333	-36.0	0.00317	-254.0	0.0035	15.0	0.00333	26.0	0.00317	13.0	0.00267	1.0	0.0035	-24.0	0.00333	2.0	0.003	-12.0	0.00267	17.0	0.00317	18.0	0.00333	-1.0	0.00267	8.0	0.00317	24.0	0.00317	41.0	0.00317	6.0	0.00333	17.0	0.00267	30.0	0.00267	17.0	0.00333	24.0	0.00267	34.0	0.00267	19.0	0.00333	7.0	0.003	-2.0
4	0.004	-36.0	0.00383	-254.0	0.00417	15.0	0.004	26.0	0.00383	13.0	0.00333	1.0	0.00417	-24.0	0.004	2.0	0.00367	-12.0	0.00333	17.0	0.00383	18.0	0.004	-1.0	0.00333	8.0	0.00383	24.0	0.00383	41.0	0.00383	6.0	0.004	17.0	0.00333	30.0	0.00333	17.0	0.004	24.0	0.00333	34.0	0.00333	19.0	0.004	8.0	0.00367	-1.0
5	0.00467	-36.0	0.0045	-254.0	0.00483	15.0	0.00467	26.0	0.0045	13.0	0.004	1.0	0.00483	-24.0	0.00467	2.0	0.00433	-12.0	0.004	17.0	0.0045	18.0	0.00467	-1.0	0.004	8.0	0.0045	24.0	0.0045	41.0	0.0045	7.0	0.00467	17.0	0.004	30.0	0.004	17.0	0.00467	24.0	0.004	34.0	0.004	19.0	0.00467	8.0	0.00433	-1.0
6	0.00533	-36.0	0.00517	-254.0	0.0055	15.0	0.00533	26.0	0.00517	13.0	0.00467	1.0	0.0055	-24.0	0.00533	3.0	0.005	-12.0	0.00467	17.0	0.00517	18.0	0.00533	-0.0	0.00467	8.0	0.00517	25.0	0.00517	41.0	0.00517	7.0	0.00533	17.0	0.00467	30.0	0.00467	17.0	0.00533	24.0	0.00467	34.0	0.00467	19.0	0.00533	8.0	0.005	-1.0
7	0.006	-35.0	0.00583	-253.0	0.00617	15.0	0.006	26.0	0.00583	14.0	0.00533	1.0	0.00617	-24.0	0.006	3.0	0.00567	-12.0	0.00533	17.0	0.00583	18.0	0.006	-0.0	0.00533	8.0	0.00583	25.0	0.00583	41.0	0.00583	7.0	0.006	17.0	0.00533	30.0	0.00533	17.0	0.006	24.0	0.00533	34.0	0.00533	19.0	0.006	8.0	0.00567	-1.0
8	0.00667	-35.0	0.0065	-253.0	0.00683	15.0	0.00667	27.0	0.0065	14.0	0.006	1.0	0.00683	-23.0	0.00667	3.0	0.00633	-12.0	0.006	17.0	0.0065	18.0	0.00667	-0.0	0.006	8.0	0.0065	25.0	0.0065	41.0	0.0065	7.0	0.00667	18.0	0.006	30.0	0.006	17.0	0.00667	23.0	0.006	34.0	0.006	20.0	0.00667	9.0	0.00633	-0.0
9	0.00733	-34.0	0.00717	-252.0	0.0075	15.0	0.00733	27.0	0.00717	14.0	0.00667	1.0	0.0075	-23.0	0.00733	4.0	0.007	-12.0	0.00667	17.0	0.00717	18.0	0.00733	-0.0	0.00667	9.0	0.00717	25.0	0.00717	41.0	0.00717	8.0	0.00733	18.0	0.00667	30.0	0.00667	16.0	0.00733	23.0	0.00667	34.0	0.00667	20.0	0.00733	9.0	0.007	0.0
10	0.008	-33.0	0.00783	-251.0	0.00817	15.0	0.008	28.0	0.00783	15.0	0.00733	2.0	0.00817	-23.0	0.008	4.0	0.00767	-11.0	0.00733	17.0	0.00783	18.0	0.008	-0.0	0.00733	9.0	0.00783	25.0	0.00783	41.0	0.00783	8.0	0.008	17.0	0.00733	30.0	0.00733	16.0	0.008	23.0	0.00733	34.0	0.00733	20.0	0.008	9.0	0.00767	0.0
11	0.00867	-32.0	0.0085	-250.0	0.00883	15.0	0.00867	28.0	0.0085	16.0	0.008	2.0	0.00883	-23.0	0.00867	5.0	0.00833	-11.0	0.008	17.0	0.0085	18.0	0.00867	-0.0	0.008	9.0	0.0085	25.0	0.0085	41.0	0.0085	8.0	0.00867	17.0	0.008	30.0	0.008	16.0	0.00867	22.0	0.008	33.0	0.008	21.0	0.00867	10.0	0.00833	1.0
12	0.00933	-31.0	0.00917	-249.0	0.0095	16.0	0.00933	29.0	0.00917	16.0	0.00867	3.0	0.0095	-22.0	0.00933	6.0	0.009	-11.0	0.00867	17.0	0.00917	18.0	0.00933	-0.0	0.00867	10.0	0.00917	25.0	0.00917	40.0	0.00917	8.0	0.00933	17.0	0.00867	30.0	0.00867	16.0	0.00933	21.0	0.00867	33.0	0.00867	21.0	0.00933	10.0	0.009	1.0
13	0.01	-29.0	0.00983	-248.0	0.01017	16.0	0.01	30.0	0.00983	17.0	0.00933	3.0	0.01017	-22.0	0.01	7.0	0.00967	-10.0	0.00933	17.0	0.00983	18.0	0.01	-0.0	0.00933	10.0	0.00983	25.0	0.00983	40.0	0.00983	7.0	0.01	16.0	0.00933	30.0	0.00933	15.0	0.01	20.0	0.00933	32.0	0.00933	22.0	0.01	11.0	0.00967	2.0
