[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\LabSolutions\Data\Project1\stephen\2016-01-04\14.gcd
Output Date	1/5/2016
Output Time	4:51:31 PM

[Configuration]
Instrument Name	WEISSTA-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#2
Detector Name	DFID1
# of Channels	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	9599
Start Time(min)	0.001
End Time(min)	6.400
R.Time (min)	Intensity
0.00083	4
0.00150	4
0.00217	4
0.00283	4
0.00350	4
0.00417	4
0.00483	4
0.00550	4
0.00617	4
0.00683	5
0.00750	5
0.00817	5
0.00883	6
0.00950	6
0.01017	7
0.01083	8
0.01150	9
0.01217	10
0.01283	11
0.01350	12
0.01417	13
0.01483	14
0.01550	15
0.01617	16
0.01683	17
0.01750	19
0.01817	20
0.01883	21
0.01950	22
0.02017	24
0.02083	25
0.02150	26
0.02217	27
0.02283	28
0.02350	29
0.02417	30
0.02483	31
0.02550	31
0.02617	32
0.02683	32
0.02750	32
0.02817	32
0.02883	33
0.02950	33
0.03017	32
0.03083	32
0.03150	32
0.03217	31
0.03283	31
0.03350	31
0.03417	30
0.03483	30
0.03550	29
0.03617	28
0.03683	28
0.03750	27
0.03817	27
0.03883	26
0.03950	25
0.04017	25
0.04083	24
0.04150	23
0.04217	23
0.04283	22
0.04350	22
0.04417	21
0.04483	20
0.04550	20
0.04617	19
0.04683	18
0.04750	18
0.04817	17
0.04883	17
0.04950	16
0.05017	16
0.05083	15
0.05150	15
0.05217	14
0.05283	14
0.05350	13
0.05417	13
0.05483	12
0.05550	12
0.05617	11
0.05683	11
0.05750	10
0.05817	10
0.05883	9
0.05950	9
0.06017	9
0.06083	8
0.06150	8
0.06217	7
0.06283	7
0.06350	6
0.06417	6
0.06483	6
0.06550	5
0.06617	5
0.06683	5
0.06750	4
0.06817	4
0.06883	4
0.06950	4
0.07017	3
0.07083	3
0.07150	3
0.07217	3
0.07283	3
0.07350	3
0.07417	2
0.07483	2
0.07550	2
0.07617	2
0.07683	2
0.07750	2
0.07817	2
0.07883	1
0.07950	1
0.08017	1
0.08083	1
0.08150	1
0.08217	1
0.08283	1
0.08350	1
0.08417	1
0.08483	1
0.08550	1
0.08617	2
0.08683	3
0.08750	5
0.08817	10
0.08883	17
0.08950	30
0.09017	46
0.09083	65
0.09150	87
0.09217	130
0.09283	194
0.09350	277
0.09417	370
0.09483	464
0.09550	561
0.09617	657
0.09683	762
0.09750	874
0.09817	994
0.09883	1123
0.09950	1259
0.10017	1396
0.10083	1544
0.10150	1723
0.10217	1917
0.10283	2110
0.10350	2306
0.10417	2499
0.10483	2692
0.10550	2888
0.10617	3078
0.10683	3256
0.10750	3424
0.10817	3588
0.10883	3746
0.10950	3897
0.11017	4041
0.11083	4175
0.11150	4297
0.11217	4413
0.11283	4520
0.11350	4617
0.11417	4705
0.11483	4783
0.11550	4857
0.11617	4934
0.11683	5004
0.11750	5071
0.11817	5147
0.11883	5216
0.11950	5275
0.12017	5326
0.12083	5370
0.12150	5406
0.12217	5432
0.12283	5451
0.12350	5463
0.12417	5475
0.12483	5486
0.12550	5491
0.12617	5499
0.12683	5514
0.12750	5524
0.12817	5532
0.12883	5574
0.12950	5807
0.13017	6680
0.13083	9362
0.13150	16521
0.13217	33145
0.13283	68285
0.13350	136261
0.13417	258815
0.13483	462989
0.13550	779869
0.13617	1239699
0.13683	1871688
0.13750	2700603
0.13817	3747474
0.13883	5027531
0.13950	6551851
0.14017	8326443
0.14083	10353644
0.14150	12632426
0.14217	15159388
0.14283	17929738
0.14350	20937970
0.14417	24178148
0.14483	27643928
0.14550	31330194
0.14617	35233910
0.14683	39352139
0.14750	43676997
