[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\LabSolutions\Data\Project1\stephen\2016-01-11\50_2PA.gcd
Output Date	1/11/2016
Output Time	1:18:02 PM

[Configuration]
Instrument Name	WEISSTA-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#2
Detector Name	DFID1
# of Channels	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	9600
Start Time(min)	0.001
End Time(min)	6.400
R.Time (min)	Intensity
0.00050	-5
0.00117	-5
0.00183	-4
0.00250	-4
0.00317	-4
0.00383	-4
0.00450	-4
0.00517	-3
0.00583	-3
0.00650	-3
0.00717	-3
0.00783	-2
0.00850	-2
0.00917	-2
0.00983	-2
0.01050	-2
0.01117	-2
0.01183	-1
0.01250	-1
0.01317	-1
0.01383	-2
0.01450	-2
0.01517	-2
0.01583	-2
0.01650	-2
0.01717	-3
0.01783	-3
0.01850	-4
0.01917	-4
0.01983	-5
0.02050	-5
0.02117	-6
0.02183	-7
0.02250	-7
0.02317	-8
0.02383	-9
0.02450	-10
0.02517	-11
0.02583	-12
0.02650	-13
0.02717	-14
0.02783	-15
0.02850	-16
0.02917	-17
0.02983	-18
0.03050	-19
0.03117	-21
0.03183	-22
0.03250	-23
0.03317	-24
0.03383	-25
0.03450	-26
0.03517	-27
0.03583	-29
0.03650	-30
0.03717	-31
0.03783	-32
0.03850	-33
0.03917	-34
0.03983	-35
0.04050	-36
0.04117	-37
0.04183	-38
0.04250	-40
0.04317	-41
0.04383	-42
0.04450	-43
0.04517	-44
0.04583	-44
0.04650	-45
0.04717	-46
0.04783	-47
0.04850	-48
0.04917	-49
0.04983	-49
0.05050	-50
0.05117	-51
0.05183	-52
0.05250	-53
0.05317	-53
0.05383	-54
0.05450	-55
0.05517	-55
0.05583	-56
0.05650	-57
0.05717	-57
0.05783	-58
0.05850	-59
0.05917	-59
0.05983	-60
0.06050	-60
0.06117	-61
0.06183	-62
0.06250	-62
0.06317	-63
0.06383	-63
0.06450	-64
0.06517	-64
0.06583	-65
0.06650	-65
0.06717	-66
0.06783	-66
0.06850	-67
0.06917	-67
0.06983	-68
0.07050	-68
0.07117	-69
0.07183	-69
0.07250	-69
0.07317	-70
0.07383	-70
0.07450	-70
0.07517	-71
0.07583	-71
0.07650	-72
0.07717	-72
0.07783	-72
0.07850	-72
0.07917	-71
0.07983	-65
0.08050	-51
0.08117	-9
0.08183	72
0.08250	185
0.08317	333
0.08383	512
0.08450	723
0.08517	978
0.08583	1275
0.08650	1606
0.08717	1975
0.08783	2429
0.08850	2959
0.08917	3553
0.08983	4221
0.09050	4974
0.09117	5822
0.09183	6754
0.09250	7786
0.09317	8921
0.09383	10140
0.09450	11475
0.09517	12884
0.09583	14355
0.09650	15891
0.09717	17464
0.09783	19089
0.09850	20736
0.09917	22406
0.09983	24103
0.10050	25797
0.10117	27470
0.10183	29130
0.10250	30783
0.10317	32411
0.10383	33993
0.10450	35515
0.10517	36976
0.10583	38385
0.10650	39743
0.10717	41049
0.10783	42300
0.10850	43469
0.10917	44552
0.10983	45550
0.11050	46466
0.11117	47314
0.11183	48082
0.11250	48770
0.11317	49416
0.11383	49991
0.11450	50513
0.11517	50991
0.11583	51427
0.11650	51794
0.11717	52095
0.11783	52334
0.11850	52523
0.11917	52674
0.11983	52796
0.12050	52857
0.12117	52868
0.12183	52857
0.12250	53085
0.12317	54664
0.12383	61217
0.12450	81625
0.12517	135081
0.12583	255487
0.12650	492946
0.12717	905224
0.12783	1553566
0.12850	2494033
0.12917	3774680
0.12983	5428916
0.13050	7477876
0.13117	9928757
0.13183	12778750
0.13250	16016914
0.13317	19626503
0.13383	23587086
0.13450	27875894
0.13517	32468027
0.13583	37337951
0.13650	42460129
0.13717	47809663
0.13783	53362568
0.13850	59096134
0.13917	64988875
0.13983	71020592
0.14050	77172356
0.14117	83426639
0.14183	89766672
0.14250	96176346
0.14317	102640731
0.14383	109146231
0.14450	115679918
0.14517	122229760
0.14583	128784421
0.14650	135333394
0.14717	141866902
0.14783	148375849
0.14850	154851857
0.14917	161286987
0.14983	167674009
0.15050	174006464
0.15117	180278348
0.15183	186484142
0.15250	192618855
0.15317	198677824
0.15383	204656667
0.15450	210551504
0.15517	216358961
0.15583	222076096
0.15650	227700285
0.15717	233228999
0.15783	238660342
0.15850	243992452
0.15917	249223684
0.15983	254352952
0.16050	259378941
0.16117	264300630
0.16183	269117326
0.16250	273829033
0.16317	278435837
0.16383	282937751
0.16450	287334842
0.16517	291627210
0.16583	295815041
0.16650	299898655
0.16717	303878890
0.16783	307756732
0.16850	311532701
0.16917	315207825
0.16983	318783170
0.17050	322259502
0.17117	325637715
0.17183	328919206
0.17250	332105306
0.17317	335197286
0.17383	338196616
0.17450	341104656
0.17517	343922905
0.17583	346652948
0.17650	349296478
0.17717	351855177
0.17783	354330685
0.17850	356724612
0.17917	359037188
0.17983	361266896
0.18050	363411588
0.18117	365461679
0.18183	367370733
0.18250	369052927
0.18317	370453634
0.18383	371567838
0.18450	372407566
0.18517	372986190
0.18583	373316827
0.18650	373411791
0.18717	373282907
0.18783	372941189
0.18850	372397124
0.18917	371660421
0.18983	370740041
0.19050	369643982
0.19117	368379742
0.19183	366954291
0.19250	365374044
0.19317	363644588
0.19383	361770951
0.19450	359757699
0.19517	357609045
0.19583	355328974
0.19650	352921047
0.19717	350388713
0.19783	347735051
0.19850	344963230
0.19917	342076207
0.19983	339077093
0.20050	335968794
0.20117	332754561
0.20183	329437441
0.20250	326020768
0.20317	322507902
0.20383	318902559
0.20450	315208468
0.20517	311429745
0.20583	307570623
0.20650	303635645
0.20717	299629551
0.20783	295557331
0.20850	291424151
0.20917	287235310
0.20983	282996149
0.21050	278712124
0.21117	274388771
0.21183	270031632
0.21250	265646286
0.21317	261238183
0.21383	256812728
0.21450	252375164
0.21517	247930646
0.21583	243484100
0.21650	239040307
0.21717	234603831
0.21783	230179069
0.21850	225770180
0.21917	221381145
0.21983	217015696
0.22050	212677366
0.22117	208369464
0.22183	204095100
0.22250	199857173
0.22317	195658381
0.22383	191501218
0.22450	187387985
0.22517	183320798
0.22583	179301590
0.22650	175332120
0.22717	171413979
0.22783	167548600
0.22850	163737255
0.22917	159981076
0.22983	156281048
0.23050	152638028
0.23117	149052746
0.23183	145525815
0.23250	142057730
0.23317	138648881
0.23383	135299554
0.23450	132009944
0.23517	128780157
0.23583	125610216
0.23650	122500064
0.23717	119449572
0.23783	116458543
0.23850	113526719
0.23917	110653778
0.23983	107839351
0.24050	105083014
0.24117	102384298
0.24183	99742691
0.24250	97157641
0.24317	94628564
0.24383	92154839
0.24450	89735819
0.24517	87370830
0.24583	85059174
0.24650	82800132
0.24717	80592968
0.24783	78436926
0.24850	76331240
0.24917	74275127
0.24983	72267794
0.25050	70308442
0.25117	68396264
0.25183	66530447
0.25250	64710175
0.25317	62934628
0.25383	61202983
0.25450	59514421
0.25517	57868121
0.25583	56263265
0.25650	54699037
0.25717	53174627
0.25783	51689226
0.25850	50242033
0.25917	48832252
0.25983	47459094
0.26050	46121777
0.26117	44819528
0.26183	43551582
0.26250	42317181
0.26317	41115578
0.26383	39946033
0.26450	38807817
0.26517	37700209
0.26583	36622503
0.26650	35574000
0.26717	34554013
0.26783	33561865
0.26850	32596890
0.26917	31658434
0.26983	30745853
0.27050	29858516
0.27117	28995800
0.27183	28157096
0.27250	27341805
0.27317	26549339
0.27383	25779126
0.27450	25030599
0.27517	24303205
0.27583	23596402
0.27650	22909658
0.27717	22242455
0.27783	21594284
0.27850	20964647
0.27917	20353055
0.27983	19759032
0.28050	19182113
0.28117	18621842
0.28183	18077772
0.28250	17549468
0.28317	17036505
0.28383	16538468
0.28450	16054950
0.28517	15585554
0.28583	15129894
0.28650	14687592
0.28717	14258280
0.28783	13841597
0.28850	13437192
0.28917	13044722
0.28983	12663854
0.29050	12294262
0.29117	11935630
0.29183	11587647
0.29250	11250011
0.29317	10922430
0.29383	10604617
0.29450	10296292
0.29517	9997183
0.29583	9707025
0.29650	9425563
0.29717	9152544
0.29783	8887724
0.29850	8630865
0.29917	8381734
0.29983	8140108
0.30050	7905768
0.30117	7678499
0.30183	7458095
0.30250	7244353
0.30317	7037077
0.30383	6836076
0.30450	6641167
0.30517	6452168
0.30583	6268903
0.30650	6091201
0.30717	5918896
0.30783	5751826
0.30850	5589837
0.30917	5432774
0.30983	5280491
0.31050	5132842
0.31117	4989689
0.31183	4850897
0.31250	4716334
0.31317	4585871
0.31383	4459385
0.31450	4336756
0.31517	4217866
0.31583	4102602
0.31650	3990853
0.31717	3882512
0.31783	3777475
0.31850	3675641
0.31917	3576913
0.31983	3481194
0.32050	3388393
0.32117	3298420
0.32183	3211189
0.32250	3126614
0.32317	3044613
0.32383	2965108
0.32450	2888020
0.32517	2813274
0.32583	2740799
0.32650	2670522
0.32717	2602377
0.32783	2536297
0.32850	2472218
0.32917	2410077
0.32983	2349814
0.33050	2291371
0.33117	2234690
0.33183	2179717
0.33250	2126400
0.33317	2074686
0.33383	2024524
0.33450	1975867
0.33517	1928666
0.33583	1882877
0.33650	1838456
0.33717	1795360
0.33783	1753547
0.33850	1712976
0.33917	1673610
0.33983	1635410
0.34050	1598340
0.34117	1562366
0.34183	1527452
0.34250	1493565
0.34317	1460672
0.34383	1428742
0.34450	1397745
0.34517	1367652
0.34583	1338435
0.34650	1310066
0.34717	1282518
0.34783	1255765
0.34850	1229783
0.34917	1204547
0.34983	1180034
0.35050	1156221
0.35117	1133086
0.35183	1110608
0.35250	1088766
0.35317	1067540
0.35383	1046912
0.35450	1026861
0.35517	1007370
0.35583	988422
0.35650	970000
0.35717	952086
0.35783	934665
0.35850	917722
0.35917	901241
0.35983	885209
0.36050	869610
0.36117	854433
0.36183	839663
0.36250	825289
0.36317	811297
0.36383	797676
0.36450	784415
0.36517	771503
0.36583	758928
0.36650	746680
0.36717	734749
0.36783	723126
0.36850	711800
0.36917	700763
0.36983	690006
0.37050	679520
0.37117	669298
0.37183	659330
0.37250	649610
0.37317	640130
0.37383	630882
0.37450	621859
0.37517	613056
