[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\LabSolutions\Data\Project1\stephen\2016-01-11\50_benzil.gcd
Output Date	1/11/2016
Output Time	1:18:01 PM

[Configuration]
Instrument Name	WEISSTA-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#2
Detector Name	DFID1
# of Channels	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	9600
Start Time(min)	0.000
End Time(min)	6.400
R.Time (min)	Intensity
0.00033	1
0.00100	1
0.00167	1
0.00233	1
0.00300	1
0.00367	1
0.00433	1
0.00500	1
0.00567	1
0.00633	1
0.00700	1
0.00767	1
0.00833	1
0.00900	0
0.00967	0
0.01033	-0
0.01100	-1
0.01167	-2
0.01233	-3
0.01300	-3
0.01367	-5
0.01433	-6
0.01500	-7
0.01567	-8
0.01633	-10
0.01700	-12
0.01767	-13
0.01833	-15
0.01900	-17
0.01967	-20
0.02033	-22
0.02100	-24
0.02167	-27
0.02233	-29
0.02300	-32
0.02367	-34
0.02433	-37
0.02500	-40
0.02567	-43
0.02633	-46
0.02700	-49
0.02767	-52
0.02833	-55
0.02900	-59
0.02967	-62
0.03033	-65
0.03100	-68
0.03167	-71
0.03233	-75
0.03300	-78
0.03367	-81
0.03433	-84
0.03500	-87
0.03567	-90
0.03633	-93
0.03700	-96
0.03767	-98
0.03833	-101
0.03900	-104
0.03967	-107
0.04033	-109
0.04100	-112
0.04167	-114
0.04233	-117
0.04300	-120
0.04367	-122
0.04433	-125
0.04500	-127
0.04567	-129
0.04633	-132
0.04700	-134
0.04767	-136
0.04833	-139
0.04900	-141
0.04967	-143
0.05033	-145
0.05100	-148
0.05167	-150
0.05233	-152
0.05300	-155
0.05367	-157
0.05433	-159
0.05500	-161
0.05567	-164
0.05633	-166
0.05700	-168
0.05767	-171
0.05833	-173
0.05900	-175
0.05967	-177
0.06033	-180
0.06100	-182
0.06167	-184
0.06233	-186
0.06300	-189
0.06367	-191
0.06433	-193
0.06500	-195
0.06567	-197
0.06633	-199
0.06700	-201
0.06767	-203
0.06833	-205
0.06900	-207
0.06967	-209
0.07033	-211
0.07100	-213
0.07167	-215
0.07233	-217
0.07300	-218
0.07367	-220
0.07433	-221
0.07500	-223
0.07567	-224
0.07633	-226
0.07700	-227
0.07767	-229
0.07833	-229
0.07900	-226
0.07967	-215
0.08033	-187
0.08100	-138
0.08167	-61
0.08233	56
0.08300	235
0.08367	503
0.08433	837
0.08500	1236
0.08567	1709
0.08633	2292
0.08700	2972
0.08767	3761
0.08833	4649
0.08900	5642
0.08967	6763
0.09033	8023
0.09100	9350
0.09167	10730
0.09233	12172
0.09300	13662
0.09367	15196
0.09433	16776
0.09500	18410
0.09567	20067
0.09633	21710
0.09700	23328
0.09767	24927
0.09833	26563
0.09900	28218
0.09967	29855
0.10033	31434
0.10100	32959
0.10167	34498
0.10233	35979
0.10300	37364
0.10367	38670
0.10433	39938
0.10500	41156
0.10567	42300
0.10633	43366
0.10700	44348
0.10767	45258
0.10833	46102
0.10900	46864
0.10967	47577
0.11033	48248
0.11100	48845
0.11167	49387
0.11233	49857
0.11300	50265
0.11367	50624
0.11433	50944
0.11500	51206
0.11567	51395
0.11633	51516
0.11700	51577
0.11767	51591
0.11833	51555
0.11900	51469
0.11967	51342
0.12033	51169
0.12100	50968
0.12167	50887
0.12233	51623
0.12300	55492
0.12367	68658
0.12433	104241
0.12500	187283
0.12567	356246
0.12633	660383
0.12700	1155026
0.12767	1894195
0.12833	2925224
0.12900	4287508
0.12967	6008832
0.13033	8106430
0.13100	10586564
0.13167	13447295
0.13233	16679128
0.13300	20268112
0.13367	24196567
0.13433	28444255
0.13500	32989332
0.13567	37809021
0.13633	42879917
0.13700	48178662
0.13767	53682182
0.13833	59367717
0.13900	65213721
0.13967	71199734
0.14033	77306315
0.14100	83515488
0.14167	89810200
0.14233	96174441
0.14300	102593313
0.14367	109053018
0.14433	115540488
0.14500	122043454
0.14567	128550731
0.14633	135051888
0.14700	141537264
0.14767	147997930
0.14833	154425355
0.14900	160811747
0.14967	167149934
0.15033	173433587
0.15100	179656814
0.15167	185814400
0.15233	191901447
0.15300	197913880
0.15367	203847812
0.15433	209698703
0.15500	215462908
0.15567	221137292
0.15633	226719135
0.15700	232206145
0.15767	237596448
0.15833	242888143
0.15900	248079775
0.15967	253170006
0.16033	258157549
0.16100	263041549
0.16167	267821481
0.16233	272496963
0.16300	277067892
0.16367	281534384
0.16433	285896479
0.16500	290154347
0.16567	294308362
0.16633	298359027
0.16700	302306914
0.16767	306152804
0.16833	309897678
0.16900	313542907
0.16967	317090127
0.17033	320540683
0.17100	323895939
0.17167	327156970
0.17233	330324969
0.17300	333401136
0.17367	336386586
0.17433	339282036
0.17500	342086689
0.17567	344799418
0.17633	347417950
0.17700	349919013
0.17767	352238601
0.17833	354325517
0.17900	356171812
0.17967	357787438
0.18033	359184054
0.18100	360372824
0.18167	361364248
0.18233	362168417
0.18300	362794834
0.18367	363252617
0.18433	363550353
0.18500	363696083
0.18567	363696977
0.18633	363559467
0.18700	363289472
0.18767	362892379
0.18833	362373167
0.18900	361736110
0.18967	360984754
0.19033	360122076
0.19100	359150685
0.19167	358072489
0.19233	356889098
0.19300	355601515
0.19367	354210659
0.19433	352716803
0.19500	351120036
0.19567	349420060
0.19633	347616677
0.19700	345709215
0.19767	343697133
0.19833	341579871
0.19900	339357159
0.19967	337028638
0.20033	334594240
0.20100	332053960
0.20167	329408011
0.20233	326656943
0.20300	323801557
0.20367	320843116
0.20433	317783108
0.20500	314623535
0.20567	311366612
0.20633	308015040
0.20700	304571691
0.20767	301039963
0.20833	297423502
0.20900	293726463
0.20967	289953177
0.21033	286108461
0.21100	282197292
0.21167	278225044
0.21233	274197099
0.21300	270119083
0.21367	265996646
0.21433	261835553
0.21500	257641476
0.21567	253420070
0.21633	249176879
0.21700	244917330
0.21767	240646695
0.21833	236370081
0.21900	232092411
0.21967	227818395
0.22033	223552546
0.22100	219299142
0.22167	215062263
0.22233	210845752
0.22300	206653240
0.22367	202488128
0.22433	198353604
0.22500	194252636
0.22567	190187992
0.22633	186162223
0.22700	182177697
0.22767	178236583
0.22833	174340872
0.22900	170492365
0.22967	166692697
0.23033	162943341
0.23100	159245618
0.23167	155600697
0.23233	152009603
0.23300	148473227
0.23367	144992332
0.23433	141567564
0.23500	138199454
0.23567	134888425
0.23633	131634797
0.23700	128438798
0.23767	125300562
0.23833	122220144
0.23900	119197519
0.23967	116232589
0.24033	113325188
0.24100	110475088
0.24167	107682001
0.24233	104945585
0.24300	102265444
0.24367	99641143
0.24433	97072202
0.24500	94558104
0.24567	92098292
0.24633	89692178
0.24700	87339144
0.24767	85038544
0.24833	82789711
0.24900	80591954
0.24967	78444564
0.25033	76346817
0.25100	74297976
0.25167	72297287
0.25233	70343987
0.25300	68437303
0.25367	66576457
0.25433	64760665
0.25500	62989138
0.25567	61261084
0.25633	59575710
0.25700	57932219
0.25767	56329819
0.25833	54767715
0.25900	53245118
0.25967	51761241
0.26033	50315303
0.26100	48906529
0.26167	47534144
0.26233	46197381
0.26300	44895483
0.26367	43627699
0.26433	42393285
0.26500	41191509
0.26567	40021643
0.26633	38882969
0.26700	37774779
0.26767	36696376
0.26833	35647070
0.26900	34626185
0.26967	33633050
0.27033	32667008
0.27100	31727412
0.27167	30813627
0.27233	29925026
0.27300	29060996
0.27367	28220933
0.27433	27404243
0.27500	26610346
0.27567	25838669
0.27633	25088655
0.27700	24359752
0.27767	23651423
0.27833	22963142
0.27900	22294393
0.27967	21644670
0.28033	21013477
0.28100	20400330
0.28167	19804754
0.28233	19226284
0.28300	18664468
0.28367	18118863
0.28433	17589035
0.28500	17074560
0.28567	16575023
0.28633	16090018
0.28700	15619152
0.28767	15162038
0.28833	14718299
0.28900	14287568
0.28967	13869485
0.29033	13463701
0.29100	13069874
0.29167	12687669
0.29233	12316762
0.29300	11956837
0.29367	11607583
0.29433	11268702
0.29500	10939898
0.29567	10620885
0.29633	10311384
0.29700	10011124
0.29767	9719841
0.29833	9437277
0.29900	9163181
0.29967	8897308
0.30033	8639421
0.30100	8389287
0.30167	8146683
0.30233	7911387
0.30300	7683187
0.30367	7461874
0.30433	7247246
0.30500	7039108
0.30567	6837268
0.30633	6641540
0.30700	6451744
0.30767	6267704
0.30833	6089249
0.30900	5916213
0.30967	5748434
0.31033	5585755
0.31100	5428023
0.31167	5275091
0.31233	5126813
0.31300	4983052
0.31367	4843671
0.31433	4708538
0.31500	4577524
0.31567	4450505
0.31633	4327360
0.31700	4207972
0.31767	4092228
0.31833	3980016
0.31900	3871228
0.31967	3765761
0.32033	3663512
0.32100	3564383
0.32167	3468279
0.32233	3375106
0.32300	3284774
0.32367	3197197
0.32433	3112288
0.32500	3029965
0.32567	2950149
0.32633	2872764
0.32700	2797733
0.32767	2724983
0.32833	2654444
0.32900	2586047
0.32967	2519727
0.33033	2455419
0.33100	2393060
0.33167	2332591
0.33233	2273950
0.33300	2217082
0.33367	2161932
0.33433	2108446
0.33500	2056572
0.33567	2006260
0.33633	1957461
0.33700	1910126
0.33767	1864211
0.33833	1819671
0.33900	1776463
0.33967	1734544
0.34033	1693876
0.34100	1654418
0.34167	1616132
0.34233	1578981
0.34300	1542931
0.34367	1507947
0.34433	1473995
0.34500	1441043
0.34567	1409059
0.34633	1378014
0.34700	1347877
0.34767	1318621
0.34833	1290217
0.34900	1262639
0.34967	1235860
0.35033	1209857
0.35100	1184603
0.35167	1160076
0.35233	1136252
0.35300	1113110
0.35367	1090628
0.35433	1068785
0.35500	1047561
0.35567	1026936
0.35633	1006892
0.35700	987411
0.35767	968474
0.35833	950065
0.35900	932167
0.35967	914764
0.36033	897841
0.36100	881383
0.36167	865376
0.36233	849805
0.36300	834657
0.36367	819919
0.36433	805577
0.36500	791620
0.36567	778035
0.36633	764810
0.36700	751936
0.36767	739400
0.36833	727193
0.36900	715304
0.36967	703724
0.37033	692443
0.37100	681451
0.37167	670740
0.37233	660300
0.37300	650126
0.37367	640207
0.37433	630536
0.37500	621106
0.37567	611909
0.37633	602938
0.37700	594187
0.37767	585648
0.37833	577315
0.37900	569182
0.37967	561243
0.38033	553492
0.38100	545924
0.38167	538532
0.38233	531313
0.38300	524259
0.38367	517368
0.38433	510634
0.38500	504053
0.38567	497619
0.38633	491330
0.38700	485179
0.38767	479165
0.38833	473281
0.38900	467526
0.38967	461894
0.39033	456383
0.39100	450989
