[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\LabSolutions\Data\Project1\stephen\2015-12-21\long\bibenzyl1.gcd
Output Date	12/22/2015
Output Time	11:04:54 AM

[Configuration]
Instrument Name	WEISSTA-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#2
Detector Name	DFID1
# of Channels	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	18000
Start Time(min)	0.000
End Time(min)	12.000
R.Time (min)	Intensity
0.00033	-523
0.00100	-523
0.00167	-523
0.00233	-523
0.00300	-523
0.00367	-523
0.00433	-523
0.00500	-523
0.00567	-522
0.00633	-522
0.00700	-521
0.00767	-520
0.00833	-518
0.00900	-517
0.00967	-515
0.01033	-512
0.01100	-509
0.01167	-506
0.01233	-503
0.01300	-499
0.01367	-495
0.01433	-490
0.01500	-485
0.01567	-480
0.01633	-476
0.01700	-470
0.01767	-465
0.01833	-460
0.01900	-456
0.01967	-451
0.02033	-446
0.02100	-442
0.02167	-437
0.02233	-433
0.02300	-430
0.02367	-426
0.02433	-423
0.02500	-420
0.02567	-417
0.02633	-414
0.02700	-412
0.02767	-410
0.02833	-408
0.02900	-406
0.02967	-405
0.03033	-404
0.03100	-403
0.03167	-402
0.03233	-401
0.03300	-400
0.03367	-400
0.03433	-400
0.03500	-399
0.03567	-399
0.03633	-399
0.03700	-399
0.03767	-400
0.03833	-400
0.03900	-400
0.03967	-401
0.04033	-401
0.04100	-402
0.04167	-402
0.04233	-403
0.04300	-403
0.04367	-404
0.04433	-405
0.04500	-406
0.04567	-406
0.04633	-407
0.04700	-408
0.04767	-408
0.04833	-409
0.04900	-410
0.04967	-411
0.05033	-412
0.05100	-412
0.05167	-413
0.05233	-414
0.05300	-415
0.05367	-415
0.05433	-416
0.05500	-417
0.05567	-417
0.05633	-418
0.05700	-419
0.05767	-419
0.05833	-420
0.05900	-420
0.05967	-421
0.06033	-421
0.06100	-422
0.06167	-422
0.06233	-423
0.06300	-423
0.06367	-424
0.06433	-424
0.06500	-424
0.06567	-424
0.06633	-425
0.06700	-425
0.06767	-425
0.06833	-425
0.06900	-426
0.06967	-426
0.07033	-426
0.07100	-426
0.07167	-427
0.07233	-427
0.07300	-427
0.07367	-427
